Model, Phase, Block, Item, Response, Clusters number
SUSTAIN, generalization, 21, 56, 2, 21,
SUSTAIN, generalization, 21, 35, 2.0, 22,
SUSTAIN, generalization, 21, 20, 1, 22,
SUSTAIN, generalization, 21, 7, 2, 22,
SUSTAIN, generalization, 21, 32, 1.0, 23,
SUSTAIN, generalization, 21, 3, 1, 23,
SUSTAIN, generalization, 22, 24, 1.0, 10,
SUSTAIN, generalization, 22, 7, 2.0, 11,
SUSTAIN, generalization, 22, 51, 1.0, 12,
SUSTAIN, generalization, 22, 39, 2, 12,
SUSTAIN, generalization, 22, 47, 2, 12,
SUSTAIN, generalization, 22, 58, 1, 12,
SUSTAIN, generalization, 22, 57, 2.0, 13,
SUSTAIN, generalization, 22, 15, 2, 13,
SUSTAIN, generalization, 22, 19, 2.0, 14,
SUSTAIN, generalization, 22, 52, 1, 14,
SUSTAIN, generalization, 22, 11, 2, 14,
SUSTAIN, generalization, 22, 34, 2.0, 15,
SUSTAIN, generalization, 22, 4, 1, 15,
SUSTAIN, generalization, 22, 31, 1, 15,
SUSTAIN, generalization, 22, 64, 1, 15,
SUSTAIN, generalization, 22, 10, 1, 15,
SUSTAIN, generalization, 22, 54, 2, 15,
SUSTAIN, generalization, 22, 23, 1, 15,
SUSTAIN, generalization, 22, 55, 2, 15,
SUSTAIN, generalization, 22, 1, 2, 15,
SUSTAIN, generalization, 22, 9, 1, 15,
SUSTAIN, generalization, 22, 61, 2, 15,
SUSTAIN, generalization, 22, 38, 1.0, 16,
SUSTAIN, generalization, 22, 43, 1, 16,
SUSTAIN, generalization, 22, 18, 2, 16,
SUSTAIN, generalization, 22, 29, 2.0, 17,
SUSTAIN, generalization, 22, 27, 2, 17,
SUSTAIN, generalization, 22, 56, 2, 17,
SUSTAIN, generalization, 22, 28, 2, 17,
SUSTAIN, generalization, 22, 63, 2, 17,
SUSTAIN, generalization, 22, 20, 2, 17,
SUSTAIN, generalization, 22, 16, 1, 17,
SUSTAIN, generalization, 22, 14, 1.0, 18,
SUSTAIN, generalization, 22, 48, 2, 18,
SUSTAIN, generalization, 22, 62, 2, 18,
SUSTAIN, generalization, 22, 32, 1, 18,
SUSTAIN, generalization, 22, 21, 2, 18,
SUSTAIN, generalization, 22, 17, 1.0, 19,
SUSTAIN, generalization, 22, 25, 1, 19,
SUSTAIN, generalization, 22, 36, 1, 19,
SUSTAIN, generalization, 22, 60, 2.0, 20,
SUSTAIN, generalization, 22, 40, 2.0, 21,
SUSTAIN, generalization, 22, 37, 1, 21,
SUSTAIN, generalization, 22, 59, 2, 21,
SUSTAIN, generalization, 22, 5, 1.0, 22,
SUSTAIN, generalization, 22, 44, 2.0, 23,
SUSTAIN, generalization, 22, 22, 1, 23,
SUSTAIN, generalization, 22, 13, 1, 23,
SUSTAIN, generalization, 22, 50, 1, 23,
SUSTAIN, generalization, 22, 3, 1, 23,
SUSTAIN, generalization, 22, 6, 1, 23,
SUSTAIN, generalization, 22, 49, 2, 23,
SUSTAIN, generalization, 22, 26, 2, 23,
SUSTAIN, generalization, 22, 8, 2, 23,
SUSTAIN, generalization, 22, 12, 1.0, 24,
SUSTAIN, generalization, 22, 33, 2, 24,
SUSTAIN, generalization, 22, 45, 2, 24,
SUSTAIN, generalization, 22, 42, 1.0, 25,
SUSTAIN, generalization, 22, 30, 2, 25,
SUSTAIN, generalization, 22, 2, 1, 25,
SUSTAIN, generalization, 22, 35, 2, 25,
SUSTAIN, generalization, 22, 46, 2, 25,
SUSTAIN, generalization, 22, 53, 1.0, 26,
SUSTAIN, generalization, 22, 41, 1, 26,
SUSTAIN, generalization, 23, 15, 2.0, 8,
SUSTAIN, generalization, 23, 44, 1.0, 9,
SUSTAIN, generalization, 23, 50, 2.0, 10,
SUSTAIN, generalization, 23, 6, 2, 10,
SUSTAIN, generalization, 23, 63, 2, 10,
SUSTAIN, generalization, 23, 45, 1, 10,
SUSTAIN, generalization, 23, 64, 1, 10,
SUSTAIN, generalization, 23, 24, 2, 10,
SUSTAIN, generalization, 23, 61, 2, 10,
SUSTAIN, generalization, 23, 27, 2.0, 11,
SUSTAIN, generalization, 23, 28, 2, 11,
SUSTAIN, generalization, 23, 54, 2, 11,
SUSTAIN, generalization, 23, 38, 2.0, 12,
SUSTAIN, generalization, 23, 43, 1, 12,
SUSTAIN, generalization, 23, 60, 1.0, 13,
SUSTAIN, generalization, 23, 62, 2, 13,
SUSTAIN, generalization, 23, 55, 2, 13,
SUSTAIN, generalization, 23, 35, 2, 13,
SUSTAIN, generalization, 23, 58, 2, 13,
SUSTAIN, generalization, 23, 11, 1, 13,
SUSTAIN, generalization, 23, 14, 2, 13,
SUSTAIN, generalization, 23, 23, 2, 13,
SUSTAIN, generalization, 23, 19, 2, 13,
SUSTAIN, generalization, 23, 31, 1.0, 14,
SUSTAIN, generalization, 23, 32, 1, 14,
SUSTAIN, generalization, 23, 2, 1, 14,
SUSTAIN, generalization, 23, 47, 2, 14,
SUSTAIN, generalization, 23, 26, 2, 14,
SUSTAIN, generalization, 23, 56, 2, 14,
SUSTAIN, generalization, 23, 53, 1.0, 15,
SUSTAIN, generalization, 23, 37, 2, 15,
SUSTAIN, generalization, 23, 52, 1, 15,
SUSTAIN, generalization, 23, 34, 1.0, 16,
SUSTAIN, generalization, 23, 33, 1, 16,
SUSTAIN, generalization, 23, 12, 2.0, 17,
SUSTAIN, generalization, 23, 42, 1, 17,
SUSTAIN, generalization, 23, 17, 2.0, 18,
SUSTAIN, generalization, 23, 29, 2, 18,
SUSTAIN, generalization, 23, 16, 2, 18,
SUSTAIN, generalization, 23, 1, 2, 18,
SUSTAIN, generalization, 23, 5, 1.0, 19,
SUSTAIN, generalization, 23, 20, 2, 19,
SUSTAIN, generalization, 23, 13, 2, 19,
SUSTAIN, generalization, 23, 36, 1, 19,
SUSTAIN, generalization, 23, 30, 1, 19,
SUSTAIN, generalization, 23, 57, 1.0, 20,
SUSTAIN, generalization, 23, 39, 2, 20,
SUSTAIN, generalization, 23, 49, 2, 20,
SUSTAIN, generalization, 23, 3, 1, 20,
SUSTAIN, generalization, 23, 7, 1.0, 21,
SUSTAIN, generalization, 23, 21, 1.0, 22,
SUSTAIN, generalization, 23, 4, 1, 22,
SUSTAIN, generalization, 23, 46, 1.0, 23,
SUSTAIN, generalization, 23, 25, 1.0, 24,
SUSTAIN, generalization, 23, 9, 1, 24,
SUSTAIN, generalization, 23, 51, 2, 24,
SUSTAIN, generalization, 23, 8, 1, 24,
SUSTAIN, generalization, 23, 10, 1, 24,
SUSTAIN, generalization, 23, 41, 1.0, 25,
SUSTAIN, generalization, 23, 59, 1, 25,
SUSTAIN, generalization, 23, 48, 1.0, 26,
SUSTAIN, generalization, 23, 40, 2.0, 27,
SUSTAIN, generalization, 23, 22, 1, 27,
SUSTAIN, generalization, 23, 18, 2, 27,
SUSTAIN, generalization, 24, 40, 2, 6,
SUSTAIN, generalization, 24, 1, 2, 6,
SUSTAIN, generalization, 24, 51, 1.0, 7,
SUSTAIN, generalization, 24, 46, 1.0, 8,
SUSTAIN, generalization, 24, 59, 1, 8,
SUSTAIN, generalization, 24, 61, 2, 8,
SUSTAIN, generalization, 24, 23, 2.0, 9,
SUSTAIN, generalization, 24, 37, 1, 9,
SUSTAIN, generalization, 24, 52, 1, 9,
SUSTAIN, generalization, 24, 62, 2, 9,
SUSTAIN, generalization, 24, 20, 1.0, 10,
SUSTAIN, generalization, 24, 63, 2, 10,
SUSTAIN, generalization, 24, 26, 2.0, 11,
SUSTAIN, generalization, 24, 56, 2, 11,
SUSTAIN, generalization, 24, 57, 2.0, 12,
SUSTAIN, generalization, 24, 53, 1, 12,
SUSTAIN, generalization, 24, 11, 1, 12,
SUSTAIN, generalization, 24, 15, 2, 12,
SUSTAIN, generalization, 24, 6, 2.0, 13,
SUSTAIN, generalization, 24, 13, 2.0, 14,
SUSTAIN, generalization, 24, 44, 1, 14,
SUSTAIN, generalization, 24, 5, 2, 14,
SUSTAIN, generalization, 24, 16, 1.0, 15,
SUSTAIN, generalization, 24, 18, 2, 15,
SUSTAIN, generalization, 24, 28, 1, 15,
SUSTAIN, generalization, 24, 38, 1, 15,
SUSTAIN, generalization, 24, 47, 1, 15,
SUSTAIN, generalization, 24, 35, 1.0, 16,
SUSTAIN, generalization, 24, 60, 2.0, 17,
SUSTAIN, generalization, 24, 29, 1.0, 18,
SUSTAIN, generalization, 24, 43, 1, 18,
SUSTAIN, generalization, 24, 54, 1, 18,
SUSTAIN, generalization, 24, 41, 1.0, 19,
SUSTAIN, generalization, 24, 22, 2, 19,
SUSTAIN, generalization, 24, 45, 1, 19,
SUSTAIN, generalization, 24, 24, 2, 19,
SUSTAIN, generalization, 24, 36, 1, 19,
SUSTAIN, generalization, 24, 9, 1, 19,
SUSTAIN, generalization, 24, 21, 1, 19,
SUSTAIN, generalization, 24, 55, 2, 19,
SUSTAIN, generalization, 24, 58, 2, 19,
SUSTAIN, generalization, 24, 49, 1, 19,
SUSTAIN, generalization, 24, 4, 2, 19,
SUSTAIN, generalization, 24, 17, 2.0, 20,
SUSTAIN, generalization, 24, 32, 1.0, 21,
SUSTAIN, generalization, 24, 30, 1, 21,
SUSTAIN, generalization, 24, 14, 2, 21,
SUSTAIN, generalization, 24, 64, 1, 21,
SUSTAIN, generalization, 24, 33, 2.0, 22,
SUSTAIN, generalization, 24, 48, 2, 22,
SUSTAIN, generalization, 24, 42, 1, 22,
SUSTAIN, generalization, 24, 31, 1, 22,
SUSTAIN, generalization, 24, 7, 2, 22,
SUSTAIN, generalization, 24, 2, 1, 22,
SUSTAIN, generalization, 24, 34, 2, 22,
SUSTAIN, generalization, 24, 12, 2, 22,
SUSTAIN, generalization, 24, 39, 2.0, 23,
SUSTAIN, generalization, 24, 27, 2, 23,
SUSTAIN, generalization, 24, 50, 2.0, 24,
SUSTAIN, generalization, 24, 25, 2, 24,
SUSTAIN, generalization, 24, 8, 2.0, 25,
SUSTAIN, generalization, 24, 19, 1, 25,
SUSTAIN, generalization, 24, 10, 1, 25,
SUSTAIN, generalization, 24, 3, 1, 25,
SUSTAIN, generalization, 25, 47, 2, 6,
SUSTAIN, generalization, 25, 64, 1, 6,
SUSTAIN, generalization, 25, 21, 2.0, 7,
SUSTAIN, generalization, 25, 25, 2.0, 8,
SUSTAIN, generalization, 25, 19, 2, 8,
SUSTAIN, generalization, 25, 53, 2, 8,
SUSTAIN, generalization, 25, 62, 2, 8,
SUSTAIN, generalization, 25, 50, 1.0, 9,
SUSTAIN, generalization, 25, 3, 1, 9,
SUSTAIN, generalization, 25, 34, 2, 9,
SUSTAIN, generalization, 25, 33, 2, 9,
SUSTAIN, generalization, 25, 54, 2, 9,
SUSTAIN, generalization, 25, 11, 1, 9,
SUSTAIN, generalization, 25, 24, 1.0, 10,
SUSTAIN, generalization, 25, 22, 2, 10,
SUSTAIN, generalization, 25, 58, 1, 10,
SUSTAIN, generalization, 25, 51, 1, 10,
SUSTAIN, generalization, 25, 35, 1.0, 11,
SUSTAIN, generalization, 25, 23, 1, 11,
SUSTAIN, generalization, 25, 8, 1.0, 12,
SUSTAIN, generalization, 25, 59, 2.0, 13,
SUSTAIN, generalization, 25, 14, 1.0, 14,
SUSTAIN, generalization, 25, 27, 1, 14,
SUSTAIN, generalization, 25, 15, 1, 14,
SUSTAIN, generalization, 25, 20, 2, 14,
SUSTAIN, generalization, 25, 26, 2, 14,
SUSTAIN, generalization, 25, 39, 1.0, 15,
SUSTAIN, generalization, 25, 32, 1, 15,
SUSTAIN, generalization, 25, 12, 1, 15,
SUSTAIN, generalization, 25, 10, 1, 15,
SUSTAIN, generalization, 25, 28, 1.0, 16,
SUSTAIN, generalization, 25, 37, 1, 16,
SUSTAIN, generalization, 25, 48, 1.0, 17,
SUSTAIN, generalization, 25, 18, 2.0, 18,
SUSTAIN, generalization, 25, 38, 1, 18,
SUSTAIN, generalization, 25, 57, 1.0, 19,
SUSTAIN, generalization, 25, 29, 1, 19,
SUSTAIN, generalization, 25, 4, 1, 19,
SUSTAIN, generalization, 25, 45, 2.0, 20,
SUSTAIN, generalization, 25, 7, 1, 20,
SUSTAIN, generalization, 25, 1, 2, 20,
SUSTAIN, generalization, 25, 9, 1, 20,
SUSTAIN, generalization, 25, 44, 2, 20,
SUSTAIN, generalization, 25, 52, 2.0, 21,
SUSTAIN, generalization, 25, 31, 1.0, 22,
SUSTAIN, generalization, 25, 36, 1, 22,
SUSTAIN, generalization, 25, 56, 2, 22,
SUSTAIN, generalization, 25, 41, 2.0, 23,
SUSTAIN, generalization, 25, 46, 2, 23,
SUSTAIN, generalization, 25, 40, 1, 23,
SUSTAIN, generalization, 25, 55, 2, 23,
SUSTAIN, generalization, 25, 6, 1.0, 24,
SUSTAIN, generalization, 25, 60, 2, 24,
SUSTAIN, generalization, 25, 17, 2, 24,
SUSTAIN, generalization, 25, 2, 1, 24,
SUSTAIN, generalization, 25, 61, 2, 24,
SUSTAIN, generalization, 25, 43, 1.0, 25,
SUSTAIN, generalization, 25, 5, 1, 25,
SUSTAIN, generalization, 25, 63, 2, 25,
SUSTAIN, generalization, 25, 30, 1, 25,
SUSTAIN, generalization, 25, 42, 2, 25,
SUSTAIN, generalization, 25, 16, 2.0, 26,
SUSTAIN, generalization, 25, 13, 1, 26,
SUSTAIN, generalization, 25, 49, 1, 26,
SUSTAIN, generalization, 26, 64, 1, 6,
SUSTAIN, generalization, 26, 28, 2.0, 7,
SUSTAIN, generalization, 26, 55, 2, 7,
SUSTAIN, generalization, 26, 5, 1, 7,
SUSTAIN, generalization, 26, 30, 2, 7,
SUSTAIN, generalization, 26, 10, 1, 7,
SUSTAIN, generalization, 26, 44, 1.0, 8,
SUSTAIN, generalization, 26, 12, 1, 8,
SUSTAIN, generalization, 26, 53, 2, 8,
SUSTAIN, generalization, 26, 41, 1, 8,
SUSTAIN, generalization, 26, 32, 1.0, 9,
SUSTAIN, generalization, 26, 35, 1, 9,
SUSTAIN, generalization, 26, 58, 1.0, 10,
SUSTAIN, generalization, 26, 38, 1.0, 11,
SUSTAIN, generalization, 26, 63, 2, 11,
SUSTAIN, generalization, 26, 34, 1.0, 12,
SUSTAIN, generalization, 26, 11, 1, 12,
SUSTAIN, generalization, 26, 51, 1, 12,
SUSTAIN, generalization, 26, 45, 1, 12,
SUSTAIN, generalization, 26, 37, 1, 12,
SUSTAIN, generalization, 26, 16, 2.0, 13,
SUSTAIN, generalization, 26, 6, 2.0, 14,
SUSTAIN, generalization, 26, 13, 1.0, 15,
SUSTAIN, generalization, 26, 50, 1, 15,
SUSTAIN, generalization, 26, 42, 1, 15,
SUSTAIN, generalization, 26, 21, 1, 15,
SUSTAIN, generalization, 26, 46, 1, 15,
SUSTAIN, generalization, 26, 2, 1, 15,
SUSTAIN, generalization, 26, 60, 2.0, 16,
SUSTAIN, generalization, 26, 7, 2, 16,
SUSTAIN, generalization, 26, 29, 2, 16,
SUSTAIN, generalization, 26, 17, 1.0, 17,
SUSTAIN, generalization, 26, 62, 2, 17,
SUSTAIN, generalization, 26, 15, 2, 17,
SUSTAIN, generalization, 26, 19, 2.0, 18,
SUSTAIN, generalization, 26, 4, 1, 18,
SUSTAIN, generalization, 26, 26, 1, 18,
SUSTAIN, generalization, 26, 54, 2, 18,
SUSTAIN, generalization, 26, 20, 2, 18,
SUSTAIN, generalization, 26, 47, 2, 18,
SUSTAIN, generalization, 26, 24, 1, 18,
SUSTAIN, generalization, 26, 9, 1, 18,
SUSTAIN, generalization, 26, 48, 1.0, 19,
SUSTAIN, generalization, 26, 43, 1, 19,
SUSTAIN, generalization, 26, 14, 1, 19,
SUSTAIN, generalization, 26, 23, 2.0, 20,
SUSTAIN, generalization, 26, 59, 2, 20,
SUSTAIN, generalization, 26, 61, 2, 20,
SUSTAIN, generalization, 26, 40, 1, 20,
SUSTAIN, generalization, 26, 36, 2.0, 21,
SUSTAIN, generalization, 26, 31, 1, 21,
SUSTAIN, generalization, 26, 49, 2.0, 22,
SUSTAIN, generalization, 26, 33, 1, 22,
SUSTAIN, generalization, 26, 1, 2, 22,
SUSTAIN, generalization, 26, 22, 2, 22,
SUSTAIN, generalization, 26, 3, 1, 22,
SUSTAIN, generalization, 26, 52, 1.0, 23,
SUSTAIN, generalization, 26, 27, 2, 23,
SUSTAIN, generalization, 26, 25, 2.0, 24,
SUSTAIN, generalization, 26, 8, 1.0, 25,
SUSTAIN, generalization, 26, 56, 2, 25,
SUSTAIN, generalization, 26, 18, 1, 25,
SUSTAIN, generalization, 26, 57, 1, 25,
SUSTAIN, generalization, 26, 39, 1, 25,
SUSTAIN, generalization, 27, 21, 2.0, 7,
SUSTAIN, generalization, 27, 9, 1, 7,
SUSTAIN, generalization, 27, 22, 2, 7,
SUSTAIN, generalization, 27, 11, 1, 7,
SUSTAIN, generalization, 27, 43, 1.0, 8,
SUSTAIN, generalization, 27, 23, 2, 8,
SUSTAIN, generalization, 27, 63, 2, 8,
SUSTAIN, generalization, 27, 19, 2, 8,
SUSTAIN, generalization, 27, 6, 2.0, 9,
SUSTAIN, generalization, 27, 16, 1.0, 10,
SUSTAIN, generalization, 27, 2, 1, 10,
SUSTAIN, generalization, 27, 33, 2.0, 11,
SUSTAIN, generalization, 27, 15, 1, 11,
SUSTAIN, generalization, 27, 3, 1, 11,
SUSTAIN, generalization, 27, 40, 1.0, 12,
SUSTAIN, generalization, 27, 38, 1, 12,
SUSTAIN, generalization, 27, 36, 2.0, 13,
SUSTAIN, generalization, 27, 41, 2, 13,
SUSTAIN, generalization, 27, 29, 2, 13,
SUSTAIN, generalization, 27, 57, 1.0, 14,
SUSTAIN, generalization, 27, 54, 2, 14,
SUSTAIN, generalization, 27, 58, 1, 14,
SUSTAIN, generalization, 27, 32, 1, 14,
SUSTAIN, generalization, 27, 8, 1, 14,
SUSTAIN, generalization, 27, 53, 2, 14,
SUSTAIN, generalization, 27, 1, 2, 14,
SUSTAIN, generalization, 27, 5, 2, 14,
SUSTAIN, generalization, 27, 37, 2, 14,
SUSTAIN, generalization, 27, 61, 2, 14,
SUSTAIN, generalization, 27, 62, 2, 14,
SUSTAIN, generalization, 27, 27, 1.0, 15,
SUSTAIN, generalization, 27, 35, 2, 15,
SUSTAIN, generalization, 27, 50, 2.0, 16,
SUSTAIN, generalization, 27, 17, 2.0, 17,
SUSTAIN, generalization, 27, 26, 1, 17,
SUSTAIN, generalization, 27, 7, 2, 17,
SUSTAIN, generalization, 27, 45, 1, 17,
SUSTAIN, generalization, 27, 39, 1, 17,
SUSTAIN, generalization, 27, 48, 2.0, 18,
SUSTAIN, generalization, 27, 59, 1, 18,
SUSTAIN, generalization, 27, 13, 1.0, 19,
SUSTAIN, generalization, 27, 46, 1.0, 20,
SUSTAIN, generalization, 27, 55, 2, 20,
SUSTAIN, generalization, 27, 18, 2, 20,
SUSTAIN, generalization, 27, 31, 2.0, 21,
SUSTAIN, generalization, 27, 4, 2, 21,
SUSTAIN, generalization, 27, 20, 2, 21,
SUSTAIN, generalization, 27, 34, 2, 21,
SUSTAIN, generalization, 27, 44, 1, 21,
SUSTAIN, generalization, 27, 14, 1, 21,
SUSTAIN, generalization, 27, 42, 1, 21,
SUSTAIN, generalization, 27, 28, 1, 21,
SUSTAIN, generalization, 27, 52, 1.0, 22,
SUSTAIN, generalization, 27, 51, 1, 22,
SUSTAIN, generalization, 27, 60, 2.0, 23,
SUSTAIN, generalization, 27, 24, 1.0, 24,
SUSTAIN, generalization, 27, 10, 1, 24,
SUSTAIN, generalization, 27, 56, 2, 24,
SUSTAIN, generalization, 27, 64, 1, 24,
SUSTAIN, generalization, 27, 47, 2, 24,
SUSTAIN, generalization, 27, 49, 2, 24,
SUSTAIN, generalization, 27, 12, 1, 24,
SUSTAIN, generalization, 27, 30, 2, 24,
SUSTAIN, generalization, 27, 25, 1.0, 25,
SUSTAIN, generalization, 28, 52, 1.0, 7,
SUSTAIN, generalization, 28, 34, 2.0, 8,
SUSTAIN, generalization, 28, 41, 2, 8,
SUSTAIN, generalization, 28, 37, 1.0, 9,
SUSTAIN, generalization, 28, 24, 1.0, 10,
SUSTAIN, generalization, 28, 45, 1, 10,
SUSTAIN, generalization, 28, 19, 2.0, 11,
SUSTAIN, generalization, 28, 12, 2, 11,
SUSTAIN, generalization, 28, 30, 1, 11,
SUSTAIN, generalization, 28, 46, 1, 11,
SUSTAIN, generalization, 28, 17, 1, 11,
SUSTAIN, generalization, 28, 36, 1, 11,
SUSTAIN, generalization, 28, 63, 2, 11,
SUSTAIN, generalization, 28, 54, 1, 11,
SUSTAIN, generalization, 28, 48, 2, 11,
SUSTAIN, generalization, 28, 39, 1, 11,
SUSTAIN, generalization, 28, 9, 1, 11,
SUSTAIN, generalization, 28, 60, 1, 11,
SUSTAIN, generalization, 28, 4, 1, 11,
SUSTAIN, generalization, 28, 62, 2, 11,
SUSTAIN, generalization, 28, 38, 1, 11,
SUSTAIN, generalization, 28, 58, 1.0, 12,
SUSTAIN, generalization, 28, 8, 2.0, 13,
SUSTAIN, generalization, 28, 35, 2, 13,
SUSTAIN, generalization, 28, 21, 2, 13,
SUSTAIN, generalization, 28, 23, 1, 13,
SUSTAIN, generalization, 28, 56, 2, 13,
SUSTAIN, generalization, 28, 29, 1, 13,
SUSTAIN, generalization, 28, 44, 1, 13,
SUSTAIN, generalization, 28, 43, 1.0, 14,
SUSTAIN, generalization, 28, 13, 1.0, 15,
SUSTAIN, generalization, 28, 61, 2, 15,
SUSTAIN, generalization, 28, 3, 1, 15,
SUSTAIN, generalization, 28, 57, 1, 15,
SUSTAIN, generalization, 28, 42, 1, 15,
SUSTAIN, generalization, 28, 32, 1, 15,
SUSTAIN, generalization, 28, 27, 1.0, 16,
SUSTAIN, generalization, 28, 25, 2.0, 17,
SUSTAIN, generalization, 28, 51, 1, 17,
SUSTAIN, generalization, 28, 55, 2, 17,
SUSTAIN, generalization, 28, 50, 1, 17,
SUSTAIN, generalization, 28, 1, 2, 17,
SUSTAIN, generalization, 28, 18, 2, 17,
SUSTAIN, generalization, 28, 31, 1.0, 18,
SUSTAIN, generalization, 28, 33, 2, 18,
SUSTAIN, generalization, 28, 14, 1, 18,
SUSTAIN, generalization, 28, 10, 1, 18,
SUSTAIN, generalization, 28, 53, 1, 18,
SUSTAIN, generalization, 28, 2, 1, 18,
SUSTAIN, generalization, 28, 64, 1, 18,
SUSTAIN, generalization, 28, 6, 1.0, 19,
SUSTAIN, generalization, 28, 20, 2, 19,
SUSTAIN, generalization, 28, 40, 1.0, 20,
SUSTAIN, generalization, 28, 26, 2, 20,
SUSTAIN, generalization, 28, 16, 1.0, 21,
SUSTAIN, generalization, 28, 59, 1, 21,
SUSTAIN, generalization, 28, 11, 1.0, 22,
SUSTAIN, generalization, 28, 49, 1.0, 23,
SUSTAIN, generalization, 28, 15, 1, 23,
SUSTAIN, generalization, 28, 7, 2, 23,
SUSTAIN, generalization, 28, 47, 1.0, 24,
SUSTAIN, generalization, 28, 28, 1, 24,
SUSTAIN, generalization, 28, 5, 1, 24,
SUSTAIN, generalization, 28, 22, 1.0, 25,
SUSTAIN, generalization, 29, 31, 1.0, 7,
SUSTAIN, generalization, 29, 18, 1, 7,
SUSTAIN, generalization, 29, 57, 1.0, 8,
SUSTAIN, generalization, 29, 39, 1, 8,
SUSTAIN, generalization, 29, 6, 2.0, 9,
SUSTAIN, generalization, 29, 41, 1, 9,
SUSTAIN, generalization, 29, 10, 1, 9,
SUSTAIN, generalization, 29, 51, 1.0, 10,
SUSTAIN, generalization, 29, 54, 2, 10,
SUSTAIN, generalization, 29, 9, 1, 10,
SUSTAIN, generalization, 29, 11, 1, 10,
SUSTAIN, generalization, 29, 60, 1, 10,
SUSTAIN, generalization, 29, 28, 2.0, 11,
SUSTAIN, generalization, 29, 40, 1, 11,
SUSTAIN, generalization, 29, 25, 1.0, 12,
SUSTAIN, generalization, 29, 15, 1.0, 13,
SUSTAIN, generalization, 29, 12, 1.0, 14,
SUSTAIN, generalization, 29, 37, 1.0, 15,
SUSTAIN, generalization, 29, 35, 1, 15,
SUSTAIN, generalization, 29, 50, 1, 15,
SUSTAIN, generalization, 29, 64, 1, 15,
SUSTAIN, generalization, 29, 8, 2, 15,
SUSTAIN, generalization, 29, 4, 1, 15,
SUSTAIN, generalization, 29, 36, 1, 15,
SUSTAIN, generalization, 29, 5, 2, 15,
SUSTAIN, generalization, 29, 13, 1, 15,
SUSTAIN, generalization, 29, 58, 1, 15,
SUSTAIN, generalization, 29, 3, 1, 15,
SUSTAIN, generalization, 29, 46, 1.0, 16,
SUSTAIN, generalization, 29, 56, 2, 16,
SUSTAIN, generalization, 29, 17, 1, 16,
SUSTAIN, generalization, 29, 23, 1, 16,
SUSTAIN, generalization, 29, 45, 1, 16,
SUSTAIN, generalization, 29, 63, 2, 16,
SUSTAIN, generalization, 29, 19, 1.0, 17,
SUSTAIN, generalization, 29, 2, 1, 17,
SUSTAIN, generalization, 29, 16, 1, 17,
SUSTAIN, generalization, 29, 53, 1.0, 18,
SUSTAIN, generalization, 29, 26, 1, 18,
SUSTAIN, generalization, 29, 43, 1, 18,
SUSTAIN, generalization, 29, 33, 1, 18,
SUSTAIN, generalization, 29, 38, 1, 18,
SUSTAIN, generalization, 29, 1, 2, 18,
SUSTAIN, generalization, 29, 55, 2, 18,
SUSTAIN, generalization, 29, 44, 1, 18,
SUSTAIN, generalization, 29, 29, 2, 18,
SUSTAIN, generalization, 29, 59, 1, 18,
SUSTAIN, generalization, 29, 7, 2, 18,
SUSTAIN, generalization, 29, 47, 1, 18,
SUSTAIN, generalization, 29, 52, 1, 18,
SUSTAIN, generalization, 29, 30, 1, 18,
SUSTAIN, generalization, 29, 49, 1, 18,
SUSTAIN, generalization, 29, 24, 1.0, 19,
SUSTAIN, generalization, 29, 27, 2, 19,
SUSTAIN, generalization, 29, 20, 1, 19,
SUSTAIN, generalization, 29, 32, 1, 19,
SUSTAIN, generalization, 29, 14, 1, 19,
SUSTAIN, generalization, 29, 48, 1.0, 20,
SUSTAIN, generalization, 29, 61, 2.0, 21,
SUSTAIN, generalization, 29, 42, 1.0, 22,
SUSTAIN, generalization, 29, 22, 2.0, 23,
SUSTAIN, generalization, 29, 62, 2, 23,
SUSTAIN, generalization, 29, 34, 2.0, 24,
SUSTAIN, generalization, 29, 21, 2, 24,
SUSTAIN, generalization, 30, 1, 2, 6,
SUSTAIN, generalization, 30, 61, 2, 6,
SUSTAIN, generalization, 30, 58, 1.0, 7,
SUSTAIN, generalization, 30, 20, 2.0, 8,
SUSTAIN, generalization, 30, 46, 1.0, 9,
SUSTAIN, generalization, 30, 17, 1, 9,
SUSTAIN, generalization, 30, 64, 1, 9,
SUSTAIN, generalization, 30, 8, 2.0, 10,
SUSTAIN, generalization, 30, 47, 1, 10,
SUSTAIN, generalization, 30, 2, 1, 10,
SUSTAIN, generalization, 30, 34, 2.0, 11,
SUSTAIN, generalization, 30, 55, 2, 11,
SUSTAIN, generalization, 30, 27, 2, 11,
SUSTAIN, generalization, 30, 54, 1, 11,
SUSTAIN, generalization, 30, 11, 1, 11,
SUSTAIN, generalization, 30, 29, 2, 11,
SUSTAIN, generalization, 30, 28, 2, 11,
SUSTAIN, generalization, 30, 38, 1, 11,
SUSTAIN, generalization, 30, 13, 1.0, 12,
SUSTAIN, generalization, 30, 44, 1, 12,
SUSTAIN, generalization, 30, 16, 2, 12,
SUSTAIN, generalization, 30, 57, 1, 12,
SUSTAIN, generalization, 30, 10, 1, 12,
SUSTAIN, generalization, 30, 22, 2, 12,
SUSTAIN, generalization, 30, 51, 2.0, 13,
SUSTAIN, generalization, 30, 4, 2.0, 14,
SUSTAIN, generalization, 30, 52, 2, 14,
SUSTAIN, generalization, 30, 37, 2.0, 15,
