Model, Phase, Block, Item, Response, Clusters number
SUSTAIN, generalization, 2, 46, 1.0, 20,
SUSTAIN, generalization, 2, 30, 1.0, 21,
SUSTAIN, generalization, 2, 27, 1, 21,
SUSTAIN, generalization, 2, 33, 1.0, 22,
SUSTAIN, generalization, 3, 51, 1.0, 3,
SUSTAIN, generalization, 3, 20, 2.0, 4,
SUSTAIN, generalization, 3, 35, 1, 4,
SUSTAIN, generalization, 3, 63, 2, 4,
SUSTAIN, generalization, 3, 38, 1.0, 5,
SUSTAIN, generalization, 3, 13, 2, 5,
SUSTAIN, generalization, 3, 29, 1, 5,
SUSTAIN, generalization, 3, 39, 1, 5,
SUSTAIN, generalization, 3, 15, 1.0, 6,
SUSTAIN, generalization, 3, 18, 1, 6,
SUSTAIN, generalization, 3, 61, 1.0, 7,
SUSTAIN, generalization, 3, 24, 1, 7,
SUSTAIN, generalization, 3, 47, 1.0, 8,
SUSTAIN, generalization, 3, 56, 2, 8,
SUSTAIN, generalization, 3, 43, 1, 8,
SUSTAIN, generalization, 3, 10, 1, 8,
SUSTAIN, generalization, 3, 31, 1.0, 9,
SUSTAIN, generalization, 3, 4, 1.0, 10,
SUSTAIN, generalization, 3, 17, 1.0, 11,
SUSTAIN, generalization, 3, 6, 1, 11,
SUSTAIN, generalization, 3, 40, 1, 11,
SUSTAIN, generalization, 3, 26, 2.0, 12,
SUSTAIN, generalization, 3, 27, 2, 12,
SUSTAIN, generalization, 3, 30, 1, 12,
SUSTAIN, generalization, 3, 28, 2, 12,
SUSTAIN, generalization, 3, 2, 1, 12,
SUSTAIN, generalization, 3, 11, 1, 12,
SUSTAIN, generalization, 3, 34, 2, 12,
SUSTAIN, generalization, 3, 57, 2.0, 13,
SUSTAIN, generalization, 3, 21, 2, 13,
SUSTAIN, generalization, 3, 19, 2, 13,
SUSTAIN, generalization, 3, 5, 1, 13,
SUSTAIN, generalization, 3, 8, 2.0, 14,
SUSTAIN, generalization, 3, 7, 2, 14,
SUSTAIN, generalization, 3, 36, 1.0, 15,
SUSTAIN, generalization, 3, 49, 2, 15,
SUSTAIN, generalization, 3, 14, 1, 15,
SUSTAIN, generalization, 3, 12, 2, 15,
SUSTAIN, generalization, 3, 50, 1, 15,
SUSTAIN, generalization, 3, 48, 1, 15,
SUSTAIN, generalization, 3, 44, 1, 15,
SUSTAIN, generalization, 3, 64, 2, 15,
SUSTAIN, generalization, 3, 45, 2.0, 16,
SUSTAIN, generalization, 3, 46, 2, 16,
SUSTAIN, generalization, 3, 52, 1, 16,
SUSTAIN, generalization, 3, 32, 1, 16,
SUSTAIN, generalization, 3, 22, 1.0, 17,
SUSTAIN, generalization, 3, 53, 1, 17,
SUSTAIN, generalization, 3, 60, 1, 17,
SUSTAIN, generalization, 3, 9, 1, 17,
SUSTAIN, generalization, 3, 3, 1, 17,
SUSTAIN, generalization, 3, 16, 1, 17,
SUSTAIN, generalization, 3, 25, 2, 17,
SUSTAIN, generalization, 3, 58, 2, 17,
SUSTAIN, generalization, 3, 1, 1.0, 18,
SUSTAIN, generalization, 3, 42, 1.0, 19,
SUSTAIN, generalization, 3, 59, 2.0, 20,
SUSTAIN, generalization, 3, 54, 1.0, 21,
SUSTAIN, generalization, 3, 37, 1, 21,
SUSTAIN, generalization, 3, 55, 1, 21,
SUSTAIN, generalization, 3, 33, 1.0, 22,
SUSTAIN, generalization, 3, 62, 1, 22,
SUSTAIN, generalization, 3, 41, 1, 22,
SUSTAIN, generalization, 3, 23, 1, 22,
