Model, Phase, Block, Item, Response, Accuracy
SUSTAIN, training, 1, 63, 2, -1,
SUSTAIN, training, 1, 64, 2, 1,
SUSTAIN, training, 1, 10, 2, 0,
SUSTAIN, training, 1, 55, 2, 1,
SUSTAIN, training, 1, 9, 1, 1,
SUSTAIN, training, 1, 1, 1, 1,
SUSTAIN, training, 1, 2, 1, 1,
SUSTAIN, training, 1, 56, 2, 1,
SUSTAIN, training, 2, 9, 1, 1,
SUSTAIN, training, 2, 10, 1, 1,
SUSTAIN, training, 2, 56, 2, 1,
SUSTAIN, training, 2, 64, 2, 1,
SUSTAIN, training, 2, 63, 2, 1,
SUSTAIN, training, 2, 2, 1, 1,
SUSTAIN, training, 2, 55, 2, 1,
SUSTAIN, training, 2, 1, 1, 1,
SUSTAIN, training, 3, 2, 1, 1,
SUSTAIN, training, 3, 55, 2, 1,
SUSTAIN, training, 3, 9, 1, 1,
SUSTAIN, training, 3, 63, 2, 1,
SUSTAIN, training, 3, 56, 2, 1,
SUSTAIN, training, 3, 10, 1, 1,
SUSTAIN, training, 3, 1, 1, 1,
SUSTAIN, training, 3, 64, 2, 1,
SUSTAIN, training, 4, 64, 2, 1,
SUSTAIN, training, 4, 2, 1, 1,
SUSTAIN, training, 4, 56, 2, 1,
SUSTAIN, training, 4, 55, 2, 1,
SUSTAIN, training, 4, 10, 1, 1,
SUSTAIN, training, 4, 63, 2, 1,
SUSTAIN, training, 4, 9, 1, 1,
SUSTAIN, training, 4, 1, 1, 1,
SUSTAIN, generalization, 1, 4, 2.0, 0,
SUSTAIN, generalization, 1, 29, 1.0, 0,
SUSTAIN, generalization, 1, 40, 2.0, 1,
SUSTAIN, generalization, 1, 30, 1.0, 1,
SUSTAIN, generalization, 1, 19, 2.0, 1,
SUSTAIN, generalization, 1, 10, 1.0, 1,
SUSTAIN, generalization, 1, 16, 1.0, 0,
SUSTAIN, generalization, 1, 28, 2.0, 1,
SUSTAIN, generalization, 1, 3, 2.0, 1,
SUSTAIN, generalization, 1, 6, 2.0, 0,
SUSTAIN, generalization, 1, 61, 1.0, 1,
SUSTAIN, generalization, 1, 39, 2.0, 1,
SUSTAIN, generalization, 1, 35, 1.0, 0,
SUSTAIN, generalization, 1, 51, 1.0, 1,
SUSTAIN, generalization, 1, 33, 1.0, 1,
SUSTAIN, generalization, 1, 9, 1.0, 1,
SUSTAIN, generalization, 1, 46, 2.0, 1,
SUSTAIN, generalization, 1, 47, 2.0, 1,
SUSTAIN, generalization, 1, 18, 1.0, 1,
SUSTAIN, generalization, 1, 60, 2.0, 1,
SUSTAIN, generalization, 1, 26, 1.0, 1,
SUSTAIN, generalization, 1, 12, 2.0, 1,
SUSTAIN, generalization, 1, 21, 1.0, 1,
SUSTAIN, generalization, 1, 48, 1.0, 1,
SUSTAIN, generalization, 1, 20, 2.0, 1,
SUSTAIN, generalization, 1, 36, 2.0, 1,
SUSTAIN, generalization, 1, 2, 1.0, 1,
SUSTAIN, generalization, 1, 59, 1.0, 1,
SUSTAIN, generalization, 1, 42, 1.0, 1,
SUSTAIN, generalization, 1, 15, 1.0, 1,
SUSTAIN, generalization, 1, 7, 1.0, 1,
SUSTAIN, generalization, 1, 8, 1.0, 1,
SUSTAIN, generalization, 1, 14, 2.0, 1,
SUSTAIN, generalization, 1, 1, 1.0, 1,
SUSTAIN, generalization, 1, 55, 2.0, 1,
SUSTAIN, generalization, 1, 34, 1.0, 1,
SUSTAIN, generalization, 1, 24, 1.0, 1,
SUSTAIN, generalization, 1, 17, 1.0, 1,
SUSTAIN, generalization, 1, 23, 1.0, 1,
SUSTAIN, generalization, 1, 56, 2.0, 1,
SUSTAIN, generalization, 1, 13, 1.0, 1,
SUSTAIN, generalization, 1, 5, 1.0, 1,
SUSTAIN, generalization, 1, 38, 2.0, 1,
SUSTAIN, generalization, 1, 32, 1.0, 1,
SUSTAIN, generalization, 1, 53, 1.0, 1,
SUSTAIN, generalization, 1, 37, 1.0, 1,
SUSTAIN, generalization, 1, 58, 2.0, 0,
SUSTAIN, generalization, 1, 62, 2.0, 1,
SUSTAIN, generalization, 1, 45, 1.0, 1,
SUSTAIN, generalization, 1, 31, 2.0, 1,
SUSTAIN, generalization, 1, 25, 1.0, 1,
SUSTAIN, generalization, 1, 11, 1.0, 1,
SUSTAIN, generalization, 1, 57, 2.0, 1,
SUSTAIN, generalization, 1, 41, 2.0, 1,
SUSTAIN, generalization, 1, 49, 2.0, 1,
SUSTAIN, generalization, 1, 64, 2.0, 1,
SUSTAIN, generalization, 1, 43, 1.0, 1,
SUSTAIN, generalization, 1, 27, 1.0, 1,
SUSTAIN, generalization, 1, 50, 2.0, 1,
SUSTAIN, generalization, 1, 44, 2.0, 1,
SUSTAIN, generalization, 1, 22, 2.0, 1,
SUSTAIN, generalization, 1, 52, 2.0, 1,
SUSTAIN, generalization, 1, 63, 2.0, 1,
SUSTAIN, generalization, 1, 54, 2.0, 1,
